rownames(qlf$table)	logFC	logCPM	F	PValue	q_val
Med8	0.1627594788528321	5.184096341806174	1.1045394167352558	0.3396441841472871	0.4779175697665654
Elovl1	-0.09565895509068556	5.24544504042096	0.5869576751487686	0.47692170229510616	0.6111357619026699
Cdc20	0.18934656200151942	5.051717394959735	0.7541219824445345	0.4234375743486032	0.5609519748782399
Tie1	-3.627237085888628	1.4950856183780543	21.391986616999834	0.0051756634411882505	0.019332588640518206
2610528J11Rik	-0.34475901002395704	1.2802357228486105	0.8710296496008265	0.39195215319969123	0.530541084806337
Tmem125	-0.9299647085511467	1.51395683577476	14.416342856654383	0.01177462175841672	0.03680308911424724
Wdr65	-2.7233835292728	0.6127863646155293	40.24015014819818	0.001242932760004292	0.0064554456974170804
Ebna1bp2	0.1147257336376805	5.841587041676511	1.3210087845172271	0.30051874316355903	0.43596104638430294
Lao1	-6.925121453785831	1.589267689965871	124.8364952914914	7.849929347022799e-5	0.0010121592151426577
Slc2a1	0.19742219656558097	6.5409408484752705	0.7242182067652808	0.432199592022096	0.5693099242645991
Zfp691	0.3243577379713873	3.5014225343282197	1.1580953471449984	0.3292398659589943	0.46708146297439657
Ermap	-0.08557851071066946	3.4912027366328493	0.29042688668096056	0.6122149865010217	0.7276138593668517
Ccdc23	-0.1519088417055471	3.2217538568558104	0.9059404877906315	0.38331325600052263	0.5220741990722717
4930538K18Rik	1.5632485334102173	3.009301591195501	65.73707361026176	3.842191529577032e-4	0.00266723563771977
AU022252	1.2321501996991142	5.115663114685816	102.23226206582616	1.2936999925521484e-4	0.001329247441722491
Lepre1	0.9060537031695621	5.060179299486577	80.63103416635266	2.3296143333638238e-4	0.0019187236696931917
Cldn19	-6.303697904524032	0.9920358016865656	137.94708474048642	6.106865990544144e-5	9.113413258441597e-4
Ybx1	0.21459236824788253	8.206230416230017	2.3219367200142558	0.18585559444853497	0.30540455887187345
Ppih	-0.07621488908213978	1.8550186641852031	0.09839872950914835	0.7659559925501334	0.8466459826666601
Ccdc30	-1.1949383947401688	1.981379642202727	15.903732922293742	0.009654124690412977	0.03149184789929133
Ppcs	-0.1509361673242385	3.622629485464234	0.20967926452051244	0.6655218210441511	0.7697184319253664
Zmynd12	0.43363813892579156	1.3407833162968639	2.300858303838784	0.18754188812656203	0.30757394548874656
Rimkla	0.336325507733109	4.8033014976295485	3.762278691651485	0.10790749793564107	0.20314304998779886
AA415398	0.6534172655894461	2.3059667354517313	4.569715044745694	0.08345277527712432	0.16669115678346602
