gene	SRR2038194	SRR2038195	SRR2038196	SRR2038197
Als2cr12	90	130	59	20
Cflar	12290	13393	19555	8128
Casp8	1012	1659	1123	774
Trak2	2164	2980	3768	1899
Stradb	288	533	434	322
Als2cr11	15	21	8	8
Als2cr4	253	394	399	235
Mpp4	69	114	11	4
Als2	745	1299	680	475
Cdk15	100	139	9	1
Fzd7	1608	2754	2202	1686
Gm973	102	121	10	8
Sumo1	651	683	863	444
Nop58	2029	2118	2043	983
Snord70	1	0	0	0
Snord11	2	3	2	0
Bmpr2	856	871	1091	495
Fam117b	864	1173	1389	698
Ica1l	109	167	9	7
Wdr12	298	384	364	206
Carf	92	134	123	72
Nbeal1	818	900	968	420
Cyp20a1	262	421	399	247
Abi2	694	1109	960	569
Raph1	1339	1968	1557	869
Cd28	112	85	158	67
Ctla4	320	526	3541	2673
Icos	110	184	173	136
9530026F06Rik	2	16	2	4
Pard3b	1952	2744	4528	2515
Nrp2	2179	4423	2267	1790
4930487H11Rik	7	21	2	6
Ino80d	4000	3883	6158	2424
Gm11602	85	100	109	70
Ndufs1	1620	2398	2037	1278
Eef1b2	8399	9844	12945	7249
Snora41	19	22	14	10
Gpr1	11	16	1	0
Zdbf2	778	645	206	76
Adam23	2305	3290	4304	2308
Dytn	28	54	0	1
Mdh1b	10	14	2	0
Fastkd2	412	540	515	261
4933402D24Rik	4	7	2	1
Gm13749	6	22	0	0
Mir1958	0	2	0	0
Klf7	233	216	417	166
Creb1	1539	2640	2471	1518
Mettl21a	260	549	359	273
2810408I11Rik	35	61	46	35
Ccnyl1	190	268	179	131
Fzd5	1375	1591	1710	930
Plekhm3	693	979	1160	630
Akr1cl	163	226	396	257
Cryge	19	9	0	0
Crygd	1	0	0	0
Crygc	17	33	0	0
Crygb	18	26	0	0
Cryga	12	28	9	4
D630023F18Rik	65	114	156	84
Idh1	962	1712	1003	745
Pikfyve	886	1374	1227	682
Pth2r	84	82	3	2
Crygf	7	8	0	0
Mtap2	1361	1728	1344	720
Unc80	261	300	175	115
Rpe	756	987	1072	603
1110028C15Rik	205	455	268	210
Acadl	1006	1541	1021	671
Myl1	42	63	9	5
Lancl1	1238	1738	1878	1127
Cps1	692	958	33	21
Erbb4	29	55	3	1
Ikzf2	175	300	184	103
Spag16	54	72	69	30
Vwc2l	48	39	3	0
Bard1	256	352	305	198
Abca12	131	220	31	37
Atic	2210	2815	2741	1559
Fn1	8138	13446	4051	2523
Apol7d	4	6	3	1
Gm8883	0	2	2	2
4933417E11Rik	25	38	53	52
Mreg	8514	11851	18705	10664
Pecr	103	163	119	100
Tmem169	20	32	8	8
Xrcc5	485	564	448	240
4-Mar	37	49	18	12
Smarcal1	608	1010	895	610
Ankar	16	42	0	0
Rpl37a	715	878	1143	599
Igfbp2	490	972	85	37
Igfbp5	3165	5876	1286	1020
Tnp1	14	11	0	0
1700027A15Rik	0	0	0	0
Pinc	0	1	0	0
D530049I02Rik	0	0	0	0
6030407O03Rik	7	21	9	12
Tns1	1504	2398	374	157
Rufy4	33	67	7	5
Cxcr2	11	33	0	3
Cxcr1	27	49	0	0
Arpc2	3759	4721	4943	2474
Gpbar1	78	104	3	0
Aamp	3127	4080	4085	2220
Pnkd	669	1141	886	549
Tmbim1	823	1377	1096	671
Gm216	79	126	11	2
Slc11a1	326	556	35	24
Ctdsp1	742	1025	949	506
Mir26b	6	11	4	5
Vil1	1250	2782	709	868
Usp37	1050	1504	1900	937
Rqcd1	1312	1961	1851	1010
Plcd4	207	343	110	57
Zfp142	1027	1372	1561	748
Bcs1l	328	434	463	274
Rnf25	696	925	1128	686
Stk36	385	595	425	281
Ttll4	832	1118	1228	626
Cyp27a1	506	894	1292	1009
Prkag3	73	102	298	179
Wnt6	348	616	138	80
Wnt10a	1292	2175	1754	1219
Cdk5r2	141	306	75	64
Fev	85	129	0	0
Cryba2	206	403	22	12
Mir375	0	3	0	0
Ccdc108	394	848	28	24
Ihh	162	316	18	19
Nhej1	126	181	94	48
Slc23a3	216	353	219	154
1810031K17Rik	1959	3082	3193	1782
Fam134a	2465	3838	3870	2258
Zfand2b	652	807	1176	518
Abcb6	392	489	663	353
Atg9a	1170	1648	1401	670
